Microsoft (R) COFF/PE Dumper Version 14.00.24215.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file gdiplus.dll

File Type: DLL

  Section contains the following exports for gdiplus.dll

    00000000 characteristics
    403E3D73 time date stamp Fri Feb 27 02:39:47 2004
        0.00 version
           1 ordinal base
         609 number of functions
         609 number of names

    ordinal hint RVA      name

        300  12B 00054577 GdipGetMatrixElements
        301  12C 000A36AE GdipGetMetafileDownLevelRasterizationLimit
        302  12D 000A2D92 GdipGetMetafileHeaderFromEmf
        303  12E 000A2DD2 GdipGetMetafileHeaderFromFile
        304  12F 000A2E50 GdipGetMetafileHeaderFromMetafile
        305  130 000A2E10 GdipGetMetafileHeaderFromStream
        306  131 000A2D4B GdipGetMetafileHeaderFromWmf
        307  132 0006001F GdipGetNearestColor
        308  133 0009F5DF GdipGetPageScale
        309  134 0000E3BA GdipGetPageUnit
        310  135 000962F1 GdipGetPathData
        311  136 000961D0 GdipGetPathFillMode
        312  137 0009AFDF GdipGetPathGradientBlend
        313  138 0009A617 GdipGetPathGradientBlendCount
        314  139 0009A073 GdipGetPathGradientCenterColor
        315  13A 00011194 GdipGetPathGradientCenterPoint
        316  13B 0009AD69 GdipGetPathGradientCenterPointI
        317  13C 0001179C GdipGetPathGradientFocusScales
        318  13D 0009AF47 GdipGetPathGradientGammaCorrection
        319  13E 0009AD49 GdipGetPathGradientPath
        320  13F 00014610 GdipGetPathGradientPointCount
        321  140 0009B098 GdipGetPathGradientPresetBlend
        322  141 0009A76B GdipGetPathGradientPresetBlendCount
        323  142 00011122 GdipGetPathGradientRect
        324  143 0009AE2B GdipGetPathGradientRectI
        325  144 0001162F GdipGetPathGradientSurroundColorCount
        326  145 00011056 GdipGetPathGradientSurroundColorsWithCount
        327  146 0009A1A9 GdipGetPathGradientTransform
        328  147 0009A973 GdipGetPathGradientWrapMode
        329  148 00096483 GdipGetPathLastPoint
        330  149 00095FBE GdipGetPathPoints
        331  14A 000960A5 GdipGetPathPointsI
        332  14B 00095ECE GdipGetPathTypes
        333  14C 0000E268 GdipGetPathWorldBounds
        334  14D 0009705F GdipGetPathWorldBoundsI
        335  14E 0009C1F3 GdipGetPenBrushFill
        336  14F 0009C05E GdipGetPenColor
        337  150 0009C633 GdipGetPenCompoundArray
        338  151 0009C59E GdipGetPenCompoundCount
        339  152 0009B90D GdipGetPenCustomEndCap
        340  153 0009B871 GdipGetPenCustomStartCap
        341  154 0009C4FF GdipGetPenDashArray
        342  155 0009B740 GdipGetPenDashCap197819
        343  156 0009C46A GdipGetPenDashCount
        344  157 0009C3D5 GdipGetPenDashOffset
        345  158 0009C340 GdipGetPenDashStyle
        346  159 0009B6AB GdipGetPenEndCap
        347  15A 0009C29E GdipGetPenFillType
        348  15B 0009B7DC GdipGetPenLineJoin
        349  15C 0009B9A9 GdipGetPenMiterLimit
        350  15D 0009BA3E GdipGetPenMode
        351  15E 0009B616 GdipGetPenStartCap
        352  15F 0009BBBE GdipGetPenTransform
        353  160 0009B581 GdipGetPenUnit
        354  161 0009B444 GdipGetPenWidth
        355  162 0009F1E9 GdipGetPixelOffsetMode
        356  163 00011423 GdipGetPointCount
        357  164 0009D7AD GdipGetPropertyCount
        358  165 0009D82A GdipGetPropertyIdList
        359  166 0009D92A GdipGetPropertyItem
        360  167 0009D8AA GdipGetPropertyItemSize
        361  168 0009D9AD GdipGetPropertySize
        362  169 00098E95 GdipGetRegionBounds
        363  16A 00098F9F GdipGetRegionBoundsI
        364  16B 00099729 GdipGetRegionData
        365  16C 00099664 GdipGetRegionDataSize
        366  16D 0009910B GdipGetRegionHRgn
        367  16E 00099C5C GdipGetRegionScans
        368  16F 00099B4C GdipGetRegionScansCount
        369  170 00099D6D GdipGetRegionScansI
        370  171 0009F005 GdipGetRenderingOrigin
        371  172 00020CC1 GdipGetSmoothingMode
        372  173 0009A2C9 GdipGetSolidFillColor
        373  174 00050159 GdipGetStringFormatAlign
        374  175 000A4716 GdipGetStringFormatDigitSubstitution
        375  176 0005002A GdipGetStringFormatFlags
        376  177 000A44AA GdipGetStringFormatHotkeyPrefix
        377  178 0005008F GdipGetStringFormatLineAlign
        378  179 000A4639 GdipGetStringFormatMeasurableCharacterRangeCount
        379  17A 000A452C GdipGetStringFormatTabStopCount
        380  17B 000A45AE GdipGetStringFormatTabStops
        381  17C 000A4784 GdipGetStringFormatTrimming
        382  17D 0009F27F GdipGetTextContrast
        383  17E 0009F315 GdipGetTextRenderingHint
        384  17F 0009A298 GdipGetTextureImage
        385  180 0009A1A9 GdipGetTextureTransform
        386  181 0009A973 GdipGetTextureWrapMode
        387  182 000A2942 GdipGetVisibleClipBounds
        388  183 000A29DA GdipGetVisibleClipBoundsI
        389  184 0005AD84 GdipGetWorldTransform
        390  185 00040777 GdipGraphicsClear
        391  186 0003C10E GdipImageForceValidation
        392  187 0009D636 GdipImageGetFrameCount
        393  188 0009D53F GdipImageGetFrameDimensionsCount
        394  189 0009D5B9 GdipImageGetFrameDimensionsList
        395  18A 0009D730 GdipImageRotateFlip
        396  18B 0009D6B3 GdipImageSelectActiveFrame
        397  18C 00098320 GdipInvertMatrix
        398  18D 000A28A8 GdipIsClipEmpty
        399  18E 0009923A GdipIsEmptyRegion
        400  18F 000994AA GdipIsEqualRegion
        401  190 00099372 GdipIsInfiniteRegion
        402  191 000987AC GdipIsMatrixEqual
        403  192 00098714 GdipIsMatrixIdentity
        404  193 0009867A GdipIsMatrixInvertible
        405  194 000973BC GdipIsOutlineVisiblePathPoint
        406  195 000975C8 GdipIsOutlineVisiblePathPointI
        407  196 000A3F52 GdipIsStyleAvailable
        408  197 000A2AD3 GdipIsVisibleClipEmpty
        409  198 0009720B GdipIsVisiblePathPoint
        410  199 00097383 GdipIsVisiblePathPointI
        411  19A 000A2B6D GdipIsVisiblePoint
        412  19B 000A2C17 GdipIsVisiblePointI
        413  19C 000A2C4D GdipIsVisibleRect
        414  19D 000A2D06 GdipIsVisibleRectI
        415  19E 00099807 GdipIsVisibleRegionPoint
        416  19F 00099963 GdipIsVisibleRegionPointI
        417  1A0 0009999C GdipIsVisibleRegionRect
        418  1A1 00099B04 GdipIsVisibleRegionRectI
        419  1A2 0001A37D GdipLoadImageFromFile
        420  1A3 0009D18E GdipLoadImageFromFileICM
        421  1A4 0009D080 GdipLoadImageFromStream
        422  1A5 0009D107 GdipLoadImageFromStreamICM
        423  1A6 000A0C21 GdipMeasureCharacterRanges
        424  1A7 000A1004 GdipMeasureDriverString
        425  1A8 000508F0 GdipMeasureString
        426  1A9 0009AA0B GdipMultiplyLineTransform
        427  1AA 000981FB GdipMultiplyMatrix
        428  1AB 0009AA0B GdipMultiplyPathGradientTransform
        429  1AC 0009BD2C GdipMultiplyPenTransform
        430  1AD 0009AA0B GdipMultiplyTextureTransform
        431  1AE 0009F42A GdipMultiplyWorldTransform
        432  1AF 00001547 GdipNewInstalledFontCollection
        433  1B0 000A428C GdipNewPrivateFontCollection
        434  1B1 00097DDA GdipPathIterCopyData
        435  1B2 00097CEA GdipPathIterEnumerate
        436  1B3 000979DD GdipPathIterGetCount
        437  1B4 00097A7F GdipPathIterGetSubpathCount
